299.455, 129.809, 5.766,  6.650 False
299.166, 129.826, 5.818,  6.700 False
298.874, 129.843, 5.867,  6.750 False
298.579, 129.860, 5.917,  6.800 False
298.282, 129.877, 5.964,  6.850 False
297.983, 129.895, 6.013,  6.900 False
297.681, 129.913, 6.059,  6.950 False
297.377, 129.931, 6.106,  7.000 False
297.071, 129.949, 6.152,  7.050 False
296.762, 129.968, 6.198,  7.100 False
296.452, 129.986, 6.243,  7.150 False
296.139, 130.005, 6.289,  7.200 False
295.823, 130.024, 6.334,  7.250 False
295.506, 130.043, 6.380,  7.300 False
295.186, 130.062, 6.423,  7.350 False
294.864, 130.082, 6.468,  7.400 False
294.539, 130.101, 6.511,  7.450 False
294.213, 130.121, 6.556,  7.500 False
293.884, 130.141, 6.599,  7.550 False
293.553, 130.161, 6.644,  7.600 False
293.220, 130.181, 6.687,  7.650 False
292.885, 130.201, 6.733,  7.700 False
292.548, 130.221, 6.775,  7.750 False
292.208, 130.242, 6.819,  7.800 False
291.866, 130.262, 6.860,  7.850 False
291.523, 130.283, 6.904,  7.900 False
291.177, 130.304, 6.944,  7.950 False
290.829, 130.326, 6.987,  8.000 False
290.479, 130.348, 7.027,  8.050 False
290.127, 130.370, 7.070,  8.100 False
289.773, 130.392, 7.111,  8.150 False
289.416, 130.414, 7.155,  8.200 False
289.058, 130.436, 7.195,  8.250 False
288.697, 130.458, 7.238,  8.300 False
288.335, 130.479, 7.278,  8.350 False
287.970, 130.501, 7.322,  8.400 False
287.603, 130.523, 7.362,  8.450 False
287.234, 130.545, 7.406,  8.500 False
286.863, 130.567, 7.446,  8.550 False
286.490, 130.588, 7.490,  8.600 False
286.115, 130.610, 7.531,  8.650 False
285.738, 130.632, 7.574,  8.700 False
285.358, 130.653, 7.615,  8.750 False
284.977, 130.675, 7.657,  8.800 False
284.593, 130.696, 7.697,  8.850 False
284.207, 130.715, 7.739,  8.900 False
283.819, 130.733, 7.779,  8.950 False
283.429, 130.752, 7.822,  9.000 False
283.037, 130.768, 7.863,  9.050 False
282.643, 130.782, 7.906,  9.100 False
282.247, 130.793, 7.946,  9.150 False
281.848, 130.802, 7.990,  9.200 False
281.447, 130.811, 8.032,  9.250 False
281.044, 130.819, 8.077,  9.300 False
280.639, 130.828, 8.118,  9.350 False
280.232, 130.836, 8.162,  9.400 False
279.822, 130.843, 8.203,  9.450 False
279.411, 130.850, 8.245,  9.500 False
278.998, 130.856, 8.277,  9.550 False
278.583, 130.862, 8.297,  9.600 False
278.168, 130.867, 8.309,  9.650 False
277.753, 130.871, 8.318,  9.700 False
277.337, 130.874, 8.325,  9.750 False
276.921, 130.876, 8.330,  9.800 False
276.504, 130.878, 8.335,  9.850 False
276.087, 130.879, 8.339,  9.900 False
275.670, 130.879, 8.342,  9.950 False
275.253, 130.878, 8.345, 10.000 False
274.836, 130.877, 8.347, 10.050 False
274.419, 130.876, 8.349, 10.100 False
274.001, 130.874, 8.351, 10.150 False
273.584, 130.872, 8.352, 10.200 False
273.166, 130.869, 8.353, 10.250 False
272.749, 130.866, 8.353, 10.300 False
272.331, 130.862, 8.354, 10.350 False
271.914, 130.857, 8.354, 10.400 False
271.496, 130.851, 8.354, 10.450 False
271.078, 130.846, 8.354, 10.500 False
270.661, 130.840, 8.354, 10.550 False
270.243, 130.834, 8.354, 10.600 False
269.825, 130.826, 8.354, 10.650 False
269.408, 130.817, 8.353, 10.700 False
268.990, 130.809, 8.353, 10.750 False
268.573, 130.800, 8.353, 10.800 False
268.155, 130.791, 8.353, 10.850 False
267.738, 130.781, 8.352, 10.900 False
